region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Kerkouane;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;1073000.0;1073.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;161000.0;2300.0;0;1;0;0;0;0;1;0;0;0
Kerkouane;960000.0;1600.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;960000.0;1600.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;960000.0;1600.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1950000.0;780.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;1155000.0;770.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;0;1;0;0;0;0;0;0;0;0
